distortion_type,severity_level,class_name,total_true_positives,total_false_positives,total_false_negatives,total_predictions,total_ground_truth_objects,precision,recall,f1_score
gaussian_noise,mild,aeroplane,8,3,1,11,9,0.7272727272727273,0.8888888888888888,0.7999999999999999
gaussian_noise,mild,bicycle,4,1,0,5,4,0.8,1.0,0.888888888888889
gaussian_noise,mild,bird,7,1,4,8,11,0.875,0.6363636363636364,0.7368421052631579
gaussian_noise,mild,boat,8,7,9,15,17,0.5333333333333333,0.47058823529411764,0.5
gaussian_noise,mild,bottle,4,1,7,5,11,0.8,0.36363636363636365,0.5000000000000001
gaussian_noise,mild,bus,12,3,5,15,17,0.8,0.7058823529411765,0.7500000000000001
gaussian_noise,mild,car,13,11,5,24,18,0.5416666666666666,0.7222222222222222,0.619047619047619
gaussian_noise,mild,cat,8,3,0,11,8,0.7272727272727273,1.0,0.8421052631578948
gaussian_noise,mild,chair,14,14,7,28,21,0.5,0.6666666666666666,0.5714285714285715
gaussian_noise,mild,cow,7,4,0,11,7,0.6363636363636364,1.0,0.7777777777777778
gaussian_noise,mild,diningtable,6,3,0,9,6,0.6666666666666666,1.0,0.8
gaussian_noise,mild,dog,6,2,2,8,8,0.75,0.75,0.75
gaussian_noise,mild,horse,6,1,0,7,6,0.8571428571428571,1.0,0.923076923076923
gaussian_noise,mild,motorbike,7,0,3,7,10,1.0,0.7,0.8235294117647058
gaussian_noise,mild,person,40,26,6,66,46,0.6060606060606061,0.8695652173913043,0.7142857142857143
gaussian_noise,mild,pottedplant,11,6,13,17,24,0.6470588235294118,0.4583333333333333,0.5365853658536585
gaussian_noise,mild,sheep,9,1,0,10,9,0.9,1.0,0.9473684210526316
gaussian_noise,mild,sofa,4,8,2,12,6,0.3333333333333333,0.6666666666666666,0.4444444444444444
gaussian_noise,mild,train,4,0,0,4,4,1.0,1.0,1.0
gaussian_noise,mild,tvmonitor,3,3,0,6,3,0.5,1.0,0.6666666666666666
gaussian_noise,medium,aeroplane,6,4,3,10,9,0.6,0.6666666666666666,0.631578947368421
gaussian_noise,medium,bicycle,4,0,0,4,4,1.0,1.0,1.0
gaussian_noise,medium,bird,2,0,9,2,11,1.0,0.18181818181818182,0.3076923076923077
gaussian_noise,medium,boat,1,0,16,1,17,1.0,0.058823529411764705,0.1111111111111111
gaussian_noise,medium,bottle,2,0,9,2,11,1.0,0.18181818181818182,0.3076923076923077
gaussian_noise,medium,bus,8,0,9,8,17,1.0,0.47058823529411764,0.6399999999999999
gaussian_noise,medium,car,13,5,5,18,18,0.7222222222222222,0.7222222222222222,0.7222222222222222
gaussian_noise,medium,cat,5,4,3,9,8,0.5555555555555556,0.625,0.5882352941176471
gaussian_noise,medium,chair,7,8,14,15,21,0.4666666666666667,0.3333333333333333,0.3888888888888889
gaussian_noise,medium,cow,4,2,3,6,7,0.6666666666666666,0.5714285714285714,0.6153846153846153
gaussian_noise,medium,diningtable,2,3,4,5,6,0.4,0.3333333333333333,0.3636363636363636
gaussian_noise,medium,dog,4,2,4,6,8,0.6666666666666666,0.5,0.5714285714285715
gaussian_noise,medium,horse,4,3,2,7,6,0.5714285714285714,0.6666666666666666,0.6153846153846153
gaussian_noise,medium,motorbike,6,0,4,6,10,1.0,0.6,0.7499999999999999
gaussian_noise,medium,person,35,18,11,53,46,0.660377358490566,0.7608695652173914,0.7070707070707071
gaussian_noise,medium,pottedplant,3,1,21,4,24,0.75,0.125,0.21428571428571427
gaussian_noise,medium,sheep,9,0,0,9,9,1.0,1.0,1.0
gaussian_noise,medium,sofa,3,10,3,13,6,0.23076923076923078,0.5,0.3157894736842105
gaussian_noise,medium,train,3,0,1,3,4,1.0,0.75,0.8571428571428571
gaussian_noise,medium,tvmonitor,3,1,0,4,3,0.75,1.0,0.8571428571428571
gaussian_noise,severe,aeroplane,2,0,7,2,9,1.0,0.2222222222222222,0.3636363636363636
gaussian_noise,severe,bicycle,3,0,1,3,4,1.0,0.75,0.8571428571428571
gaussian_noise,severe,bird,0,0,11,0,11,0.0,0.0,0.0
gaussian_noise,severe,boat,0,0,17,0,17,0.0,0.0,0.0
gaussian_noise,severe,bottle,0,0,11,0,11,0.0,0.0,0.0
gaussian_noise,severe,bus,0,0,17,0,17,0.0,0.0,0.0
gaussian_noise,severe,car,10,8,8,18,18,0.5555555555555556,0.5555555555555556,0.5555555555555556
gaussian_noise,severe,cat,0,1,8,1,8,0.0,0.0,0.0
gaussian_noise,severe,chair,0,1,21,1,21,0.0,0.0,0.0
gaussian_noise,severe,cow,0,1,7,1,7,0.0,0.0,0.0
gaussian_noise,severe,diningtable,1,0,5,1,6,1.0,0.16666666666666666,0.2857142857142857
gaussian_noise,severe,dog,1,3,7,4,8,0.25,0.125,0.16666666666666666
gaussian_noise,severe,horse,0,5,6,5,6,0.0,0.0,0.0
gaussian_noise,severe,motorbike,4,1,6,5,10,0.8,0.4,0.5333333333333333
gaussian_noise,severe,person,26,15,20,41,46,0.6341463414634146,0.5652173913043478,0.5977011494252873
gaussian_noise,severe,pottedplant,0,0,24,0,24,0.0,0.0,0.0
gaussian_noise,severe,sheep,2,0,7,2,9,1.0,0.2222222222222222,0.3636363636363636
gaussian_noise,severe,sofa,0,0,6,0,6,0.0,0.0,0.0
gaussian_noise,severe,train,1,0,3,1,4,1.0,0.25,0.4
gaussian_noise,severe,tvmonitor,2,0,1,2,3,1.0,0.6666666666666666,0.8
jpeg_compression,mild,aeroplane,8,1,1,9,9,0.8888888888888888,0.8888888888888888,0.8888888888888888
jpeg_compression,mild,bicycle,4,0,0,4,4,1.0,1.0,1.0
jpeg_compression,mild,bird,7,3,4,10,11,0.7,0.6363636363636364,0.6666666666666666
jpeg_compression,mild,boat,7,7,10,14,17,0.5,0.4117647058823529,0.45161290322580644
jpeg_compression,mild,bottle,6,0,5,6,11,1.0,0.5454545454545454,0.7058823529411764
jpeg_compression,mild,bus,12,3,5,15,17,0.8,0.7058823529411765,0.7500000000000001
jpeg_compression,mild,car,13,11,5,24,18,0.5416666666666666,0.7222222222222222,0.619047619047619
jpeg_compression,mild,cat,7,5,1,12,8,0.5833333333333334,0.875,0.7000000000000001
jpeg_compression,mild,chair,14,10,7,24,21,0.5833333333333334,0.6666666666666666,0.6222222222222222
jpeg_compression,mild,cow,7,1,0,8,7,0.875,1.0,0.9333333333333333
jpeg_compression,mild,diningtable,4,2,2,6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
jpeg_compression,mild,dog,5,1,3,6,8,0.8333333333333334,0.625,0.7142857142857143
jpeg_compression,mild,horse,6,2,0,8,6,0.75,1.0,0.8571428571428571
jpeg_compression,mild,motorbike,8,0,2,8,10,1.0,0.8,0.888888888888889
jpeg_compression,mild,person,40,36,6,76,46,0.5263157894736842,0.8695652173913043,0.6557377049180327
jpeg_compression,mild,pottedplant,9,7,15,16,24,0.5625,0.375,0.45
jpeg_compression,mild,sheep,9,1,0,10,9,0.9,1.0,0.9473684210526316
jpeg_compression,mild,sofa,2,6,4,8,6,0.25,0.3333333333333333,0.28571428571428575
jpeg_compression,mild,train,3,1,1,4,4,0.75,0.75,0.75
jpeg_compression,mild,tvmonitor,3,5,0,8,3,0.375,1.0,0.5454545454545454
jpeg_compression,medium,aeroplane,8,1,1,9,9,0.8888888888888888,0.8888888888888888,0.8888888888888888
jpeg_compression,medium,bicycle,4,0,0,4,4,1.0,1.0,1.0
jpeg_compression,medium,bird,4,3,7,7,11,0.5714285714285714,0.36363636363636365,0.4444444444444444
jpeg_compression,medium,boat,8,3,9,11,17,0.7272727272727273,0.47058823529411764,0.5714285714285714
jpeg_compression,medium,bottle,5,0,6,5,11,1.0,0.45454545454545453,0.625
jpeg_compression,medium,bus,12,3,5,15,17,0.8,0.7058823529411765,0.7500000000000001
jpeg_compression,medium,car,13,8,5,21,18,0.6190476190476191,0.7222222222222222,0.6666666666666666
jpeg_compression,medium,cat,2,1,6,3,8,0.6666666666666666,0.25,0.36363636363636365
jpeg_compression,medium,chair,4,6,17,10,21,0.4,0.19047619047619047,0.25806451612903225
jpeg_compression,medium,cow,4,7,3,11,7,0.36363636363636365,0.5714285714285714,0.4444444444444444
jpeg_compression,medium,diningtable,4,0,2,4,6,1.0,0.6666666666666666,0.8
jpeg_compression,medium,dog,2,0,6,2,8,1.0,0.25,0.4
jpeg_compression,medium,horse,5,4,1,9,6,0.5555555555555556,0.8333333333333334,0.6666666666666667
jpeg_compression,medium,motorbike,4,0,6,4,10,1.0,0.4,0.5714285714285715
jpeg_compression,medium,person,38,23,8,61,46,0.6229508196721312,0.8260869565217391,0.7102803738317758
jpeg_compression,medium,pottedplant,9,8,15,17,24,0.5294117647058824,0.375,0.4390243902439025
jpeg_compression,medium,sheep,5,0,4,5,9,1.0,0.5555555555555556,0.7142857142857143
jpeg_compression,medium,sofa,1,2,5,3,6,0.3333333333333333,0.16666666666666666,0.2222222222222222
jpeg_compression,medium,train,3,3,1,6,4,0.5,0.75,0.6
jpeg_compression,medium,tvmonitor,3,4,0,7,3,0.42857142857142855,1.0,0.6
jpeg_compression,severe,aeroplane,2,5,7,7,9,0.2857142857142857,0.2222222222222222,0.25
jpeg_compression,severe,bicycle,2,0,2,2,4,1.0,0.5,0.6666666666666666
jpeg_compression,severe,bird,0,0,11,0,11,0.0,0.0,0.0
jpeg_compression,severe,boat,0,0,17,0,17,0.0,0.0,0.0
jpeg_compression,severe,bottle,0,0,11,0,11,0.0,0.0,0.0
jpeg_compression,severe,bus,6,0,11,6,17,1.0,0.35294117647058826,0.5217391304347826
jpeg_compression,severe,car,2,3,16,5,18,0.4,0.1111111111111111,0.1739130434782609
jpeg_compression,severe,cat,0,0,8,0,8,0.0,0.0,0.0
jpeg_compression,severe,chair,0,1,21,1,21,0.0,0.0,0.0
jpeg_compression,severe,cow,0,0,7,0,7,0.0,0.0,0.0
jpeg_compression,severe,diningtable,0,0,6,0,6,0.0,0.0,0.0
jpeg_compression,severe,dog,0,0,8,0,8,0.0,0.0,0.0
jpeg_compression,severe,horse,0,1,6,1,6,0.0,0.0,0.0
jpeg_compression,severe,motorbike,0,0,10,0,10,0.0,0.0,0.0
jpeg_compression,severe,person,5,5,41,10,46,0.5,0.10869565217391304,0.17857142857142855
jpeg_compression,severe,pottedplant,0,0,24,0,24,0.0,0.0,0.0
jpeg_compression,severe,sheep,0,0,9,0,9,0.0,0.0,0.0
jpeg_compression,severe,sofa,0,0,6,0,6,0.0,0.0,0.0
jpeg_compression,severe,train,1,6,3,7,4,0.14285714285714285,0.25,0.18181818181818182
jpeg_compression,severe,tvmonitor,3,2,0,5,3,0.6,1.0,0.7499999999999999
low_light,mild,aeroplane,8,1,1,9,9,0.8888888888888888,0.8888888888888888,0.8888888888888888
low_light,mild,bicycle,4,0,0,4,4,1.0,1.0,1.0
low_light,mild,bird,10,0,1,10,11,1.0,0.9090909090909091,0.9523809523809523
low_light,mild,boat,11,14,6,25,17,0.44,0.6470588235294118,0.5238095238095238
low_light,mild,bottle,8,0,3,8,11,1.0,0.7272727272727273,0.8421052631578948
low_light,mild,bus,12,3,5,15,17,0.8,0.7058823529411765,0.7500000000000001
low_light,mild,car,14,9,4,23,18,0.6086956521739131,0.7777777777777778,0.6829268292682927
low_light,mild,cat,8,3,0,11,8,0.7272727272727273,1.0,0.8421052631578948
low_light,mild,chair,13,18,8,31,21,0.41935483870967744,0.6190476190476191,0.5
low_light,mild,cow,7,2,0,9,7,0.7777777777777778,1.0,0.8750000000000001
low_light,mild,diningtable,6,2,0,8,6,0.75,1.0,0.8571428571428571
low_light,mild,dog,6,0,2,6,8,1.0,0.75,0.8571428571428571
low_light,mild,horse,6,1,0,7,6,0.8571428571428571,1.0,0.923076923076923
low_light,mild,motorbike,8,0,2,8,10,1.0,0.8,0.888888888888889
low_light,mild,person,43,32,3,75,46,0.5733333333333334,0.9347826086956522,0.7107438016528925
low_light,mild,pottedplant,14,5,10,19,24,0.7368421052631579,0.5833333333333334,0.6511627906976745
low_light,mild,sheep,9,2,0,11,9,0.8181818181818182,1.0,0.9
low_light,mild,sofa,5,7,1,12,6,0.4166666666666667,0.8333333333333334,0.5555555555555556
low_light,mild,train,4,0,0,4,4,1.0,1.0,1.0
low_light,mild,tvmonitor,3,3,0,6,3,0.5,1.0,0.6666666666666666
low_light,medium,aeroplane,8,1,1,9,9,0.8888888888888888,0.8888888888888888,0.8888888888888888
low_light,medium,bicycle,4,0,0,4,4,1.0,1.0,1.0
low_light,medium,bird,10,1,1,11,11,0.9090909090909091,0.9090909090909091,0.9090909090909091
low_light,medium,boat,11,14,6,25,17,0.44,0.6470588235294118,0.5238095238095238
low_light,medium,bottle,7,2,4,9,11,0.7777777777777778,0.6363636363636364,0.7000000000000001
low_light,medium,bus,12,2,5,14,17,0.8571428571428571,0.7058823529411765,0.7741935483870968
low_light,medium,car,14,8,4,22,18,0.6363636363636364,0.7777777777777778,0.7000000000000001
low_light,medium,cat,8,1,0,9,8,0.8888888888888888,1.0,0.9411764705882353
low_light,medium,chair,13,17,8,30,21,0.43333333333333335,0.6190476190476191,0.5098039215686274
low_light,medium,cow,7,2,0,9,7,0.7777777777777778,1.0,0.8750000000000001
low_light,medium,diningtable,6,2,0,8,6,0.75,1.0,0.8571428571428571
low_light,medium,dog,5,0,3,5,8,1.0,0.625,0.7692307692307693
low_light,medium,horse,6,2,0,8,6,0.75,1.0,0.8571428571428571
low_light,medium,motorbike,8,0,2,8,10,1.0,0.8,0.888888888888889
low_light,medium,person,41,31,5,72,46,0.5694444444444444,0.8913043478260869,0.6949152542372882
low_light,medium,pottedplant,12,6,12,18,24,0.6666666666666666,0.5,0.5714285714285715
low_light,medium,sheep,9,1,0,10,9,0.9,1.0,0.9473684210526316
low_light,medium,sofa,4,6,2,10,6,0.4,0.6666666666666666,0.5
low_light,medium,train,3,0,1,3,4,1.0,0.75,0.8571428571428571
low_light,medium,tvmonitor,3,3,0,6,3,0.5,1.0,0.6666666666666666
low_light,severe,aeroplane,7,1,2,8,9,0.875,0.7777777777777778,0.823529411764706
low_light,severe,bicycle,4,0,0,4,4,1.0,1.0,1.0
low_light,severe,bird,6,3,5,9,11,0.6666666666666666,0.5454545454545454,0.6
low_light,severe,boat,4,1,13,5,17,0.8,0.23529411764705882,0.3636363636363636
low_light,severe,bottle,4,1,7,5,11,0.8,0.36363636363636365,0.5000000000000001
low_light,severe,bus,11,2,6,13,17,0.8461538461538461,0.6470588235294118,0.7333333333333334
low_light,severe,car,13,7,5,20,18,0.65,0.7222222222222222,0.6842105263157895
low_light,severe,cat,8,1,0,9,8,0.8888888888888888,1.0,0.9411764705882353
low_light,severe,chair,13,11,8,24,21,0.5416666666666666,0.6190476190476191,0.5777777777777778
low_light,severe,cow,6,4,1,10,7,0.6,0.8571428571428571,0.7058823529411764
low_light,severe,diningtable,4,2,2,6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
low_light,severe,dog,5,4,3,9,8,0.5555555555555556,0.625,0.5882352941176471
low_light,severe,horse,6,1,0,7,6,0.8571428571428571,1.0,0.923076923076923
low_light,severe,motorbike,7,0,3,7,10,1.0,0.7,0.8235294117647058
low_light,severe,person,41,22,5,63,46,0.6507936507936508,0.8913043478260869,0.7522935779816514
low_light,severe,pottedplant,9,4,15,13,24,0.6923076923076923,0.375,0.48648648648648646
low_light,severe,sheep,9,1,0,10,9,0.9,1.0,0.9473684210526316
low_light,severe,sofa,4,6,2,10,6,0.4,0.6666666666666666,0.5
low_light,severe,train,3,0,1,3,4,1.0,0.75,0.8571428571428571
low_light,severe,tvmonitor,3,4,0,7,3,0.42857142857142855,1.0,0.6
